category,model,url
direct-cool-refrigerator,Direct Cool Refrigerator,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator
direct-cool-refrigerator,No Frost Refrigerator,http://marcelbd.com/refrigerator-freezer/no-frost-refrigerator
direct-cool-refrigerator,Freezer,http://marcelbd.com/refrigerator-freezer/freezer
direct-cool-refrigerator,Beverage Cooler,http://marcelbd.com/refrigerator-freezer/beverage-cooler
direct-cool-refrigerator,-Direct Cool Refrigerator,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator
direct-cool-refrigerator,-No Frost Refrigerator,http://marcelbd.com/refrigerator-freezer/no-frost-refrigerator
direct-cool-refrigerator,-Freezer,http://marcelbd.com/refrigerator-freezer/freezer
direct-cool-refrigerator,-Beverage Cooler,http://marcelbd.com/refrigerator-freezer/beverage-cooler
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter
direct-cool-refrigerator,MFC-C6E-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdel-xx
direct-cool-refrigerator,MFC-C6E-GDEL-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdel-xx-inverter
direct-cool-refrigerator,MFC-C6E-GDNE-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdne-xx-inverter
direct-cool-refrigerator,MFC-C6E-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdxx-inverter
direct-cool-refrigerator,MFC-C6E-I5-GEDE-FD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-i5-gede-fd-inverter
direct-cool-refrigerator,MFC-C6E-GDNE-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdne-xx
direct-cool-refrigerator,MFC-C6E-NEXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-nexx-xx
direct-cool-refrigerator,MFE-C5H-ELEX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c5h-elex-xx
direct-cool-refrigerator,MFE-C5H-ELNX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c5h-elnx-xx
direct-cool-refrigerator,MFE-C5H-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c5h-gdel-xx
direct-cool-refrigerator,MFE-C5H-GDEN-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c5h-gden-dd-inverter
direct-cool-refrigerator,MFE-C5H-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c5h-gdxx-xx
direct-cool-refrigerator,MFC-C4H-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c4h-gdeh-dd-inverter
direct-cool-refrigerator,MFC-C4H-GDEL-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c4h-gdel-xx
direct-cool-refrigerator,MFC-C4H-GDNE-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c4h-gdne-xx
direct-cool-refrigerator,MFC-C4H-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c4h-gdxx-xx
direct-cool-refrigerator,MFC-C4H-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c4h-gdxx-xx-inverter
direct-cool-refrigerator,MFC-C4H-GJXB-FD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c4h-gjxb-fd-inverter
